Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
22854060,-14.59,-22.07,70.0,1.46,-10.2,70.8,-0.2
22868322,-14.51,-22.50,70.1,1.46,-10.5,70.9,-0.6
22882584,-14.57,-24.07,69.6,1.46,-11.0,70.4,-1.4
22896846,-14.40,-24.91,69.8,1.47,-11.6,70.7,-1.9
22911108,-14.49,-26.34,69.1,1.46,-12.0,70.2,-2.6
22925370,-14.38,-27.09,69.2,1.47,-12.5,70.3,-3.1
22939632,-14.46,-27.94,68.7,1.47,-12.6,69.9,-3.6
22953894,-14.32,-29.35,68.6,1.48,-13.4,69.9,-4.4
22968156,-14.31,-30.18,68.4,1.48,-13.7,69.7,-4.8
22982418,-14.28,-31.51,68.0,1.48,-14.3,69.5,-5.5
22996680,-14.22,-32.52,67.8,1.48,-14.7,69.4,-6.1
23010942,-14.30,-33.61,67.2,1.48,-14.9,68.9,-6.7
23025204,-14.16,-34.86,67.1,1.49,-15.6,68.9,-7.4
23039466,-14.18,-35.65,66.7,1.49,-15.8,68.6,-7.9
23053728,-14.16,-37.01,66.3,1.49,-16.3,68.2,-8.6
23067990,-14.09,-38.02,66.0,1.49,-16.7,68.1,-9.2
23082252,-14.10,-39.15,65.6,1.49,-17.0,67.7,-9.7
23096514,-14.03,-40.27,65.2,1.50,-17.5,67.5,-10.4
23110776,-14.09,-41.14,64.8,1.49,-17.5,67.1,-10.8
23125038,-13.99,-42.37,64.5,1.50,-18.1,66.9,-11.5
23139300,-14.01,-43.31,64.0,1.50,-18.2,66.6,-11.9
23153562,-13.95,-44.76,63.5,1.50,-18.7,66.2,-12.7
23167824,-13.93,-45.84,63.1,1.50,-19.0,65.9,-13.2
23182086,-13.91,-46.83,62.7,1.50,-19.2,65.6,-13.7
23196348,-13.87,-48.16,62.2,1.51,-19.6,65.2,-14.3
23210610,-13.88,-48.97,61.9,1.51,-19.7,64.9,-14.7
23224872,-13.84,-50.32,61.3,1.51,-20.0,64.5,-15.3
23239134,-13.84,-51.28,60.9,1.51,-20.2,64.2,-15.7
23253396,-13.80,-52.60,60.4,1.51,-20.4,63.7,-16.3
23267658,-13.80,-53.65,59.9,1.51,-20.6,63.3,-16.7
23281920,-13.77,-54.84,59.4,1.52,-20.8,63.0,-17.2
23296182,-13.75,-56.38,58.8,1.52,-21.0,62.4,-17.8
23310444,-13.75,-57.07,58.5,1.52,-21.1,62.2,-18.1
23324706,-13.74,-58.31,58.0,1.52,-21.2,61.7,-18.5
23338968,-13.74,-59.27,57.5,1.52,-21.2,61.3,-18.9
23353230,-13.69,-60.36,57.1,1.52,-21.5,61.0,-19.3
23367492,-13.70,-61.60,56.6,1.52,-21.5,60.5,-19.7
23381754,-13.69,-62.62,56.1,1.52,-21.5,60.1,-20.0
23396016,-13.67,-63.97,55.6,1.52,-21.6,59.6,-20.4
23410278,-13.67,-64.87,55.2,1.52,-21.6,59.3,-20.6
23424540,-13.64,-66.25,54.6,1.53,-21.7,58.8,-21.0
23438802,-13.64,-67.05,54.3,1.53,-21.7,58.5,-21.3
