Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
23167824,-13.52,-64.02,55.6,1.53,-22.1,59.8,-19.2
23182086,-13.59,-64.24,55.5,1.53,-21.9,59.6,-19.2
23196348,-13.62,-64.63,55.3,1.53,-21.8,59.4,-19.4
23210610,-13.66,-64.59,55.3,1.52,-21.7,59.4,-19.4
23224872,-13.68,-64.85,55.2,1.52,-21.6,59.3,-19.5
23239134,-13.74,-64.88,55.2,1.52,-21.5,59.2,-19.4
23253396,-13.78,-65.15,55.1,1.51,-21.3,59.1,-19.5
23267658,-13.82,-65.50,54.9,1.51,-21.2,58.9,-19.6
23281920,-13.88,-65.76,54.8,1.51,-21.1,58.7,-19.6
23296182,-13.94,-65.68,54.8,1.50,-20.9,58.7,-19.5
23310444,-14.00,-65.88,54.8,1.50,-20.8,58.6,-19.5
23324706,-14.02,-66.20,54.6,1.50,-20.7,58.4,-19.6
23338968,-14.04,-66.28,54.6,1.50,-20.7,58.4,-19.6
23353230,-14.11,-66.49,54.5,1.49,-20.5,58.2,-19.6
23367492,-14.17,-66.70,54.4,1.49,-20.3,58.1,-19.6
23381754,-14.22,-66.84,54.4,1.48,-20.2,58.0,-19.6
23396016,-14.27,-67.32,54.2,1.48,-20.1,57.8,-19.6
23410278,-14.33,-67.43,54.1,1.48,-19.9,57.7,-19.6
23424540,-14.37,-67.66,54.1,1.47,-19.9,57.6,-19.6
23438802,-14.48,-67.76,54.0,1.47,-19.6,57.5,-19.4
23453064,-14.50,-68.01,53.9,1.46,-19.5,57.3,-19.5
23467326,-14.62,-68.06,53.9,1.46,-19.3,57.2,-19.3
23481588,-14.65,-68.46,53.8,1.45,-19.2,57.1,-19.3
23495850,-14.72,-68.50,53.7,1.45,-19.0,57.0,-19.2
23510112,-14.77,-68.61,53.7,1.45,-18.9,56.9,-19.2
23524374,-14.85,-69.10,53.5,1.44,-18.7,56.7,-19.1
23538636,-14.87,-69.03,53.5,1.44,-18.6,56.7,-19.1
23552898,-14.99,-69.18,53.5,1.43,-18.4,56.6,-19.0
23567160,-15.07,-69.20,53.5,1.43,-18.2,56.5,-18.8
23581422,-15.11,-69.71,53.3,1.43,-18.1,56.3,-18.9
23595684,-15.18,-69.63,53.3,1.42,-18.0,56.3,-18.7
23609946,-15.28,-69.86,53.3,1.42,-17.7,56.1,-18.6
23624208,-15.36,-69.77,53.3,1.41,-17.6,56.1,-18.5
23638470,-15.43,-70.30,53.1,1.41,-17.4,55.9,-18.4
23652732,-15.54,-70.54,53.0,1.40,-17.2,55.7,-18.3
23666994,-15.65,-70.38,53.1,1.39,-16.9,55.7,-18.0
23681256,-15.67,-70.76,53.0,1.39,-16.9,55.6,-18.1
23695518,-15.81,-70.88,52.9,1.39,-16.6,55.5,-17.8
23709780,-15.86,-71.21,52.8,1.38,-16.5,55.3,-17.8
23724042,-15.94,-71.27,52.8,1.38,-16.4,55.3,-17.7
23738304,-16.03,-71.60,52.7,1.38,-16.2,55.1,-17.5
23752566,-16.08,-71.49,52.7,1.37,-16.1,55.1,-17.5
23766828,-16.26,-71.35,52.8,1.36,-15.7,55.1,-17.1
23781090,-16.32,-71.75,52.6,1.36,-15.6,54.9,-17.1
23795352,-16.42,-72.08,52.5,1.36,-15.5,54.8,-16.9
23809614,-16.58,-72.15,52.5,1.35,-15.2,54.7,-16.6
23823876,-16.63,-71.95,52.6,1.35,-15.1,54.7,-16.5
23838138,-16.75,-72.36,52.5,1.34,-14.9,54.5,-16.4
23852400,-16.82,-72.99,52.3,1.34,-14.7,54.3,-16.3
23866662,-16.96,-72.93,52.3,1.33,-14.5,54.3,-16.0
23880924,-17.03,-73.05,52.3,1.33,-14.4,54.2,-15.9
